trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
138,False,"{'a': 0.5, 'e': 0.7884}",25,0,-151.41510650467174,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0,93,43
139,False,"{'a': 0.5, 'e': 0.7853222222222223}",20,0,-98.28108948258541,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0,93,43
140,False,"{'a': 0.5, 'e': 0.7822222222222222}",35,0,-68.58388894396451,"{0: 24, 1: 4, 2: 6, 3: 1, 4: 0}",0,93,41
141,False,"{'a': 0.5, 'e': 0.7791}",25,0,-146.95483890834188,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0,93,40
142,False,"{'a': 0.5, 'e': 0.7759555555555555}",20,0,-115.14567382478846,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0,93,40
143,False,"{'a': 0.5, 'e': 0.7727888888888889}",20,0,-197.10953414718924,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0,93,40
144,False,"{'a': 0.5, 'e': 0.7696}",20,0,-9.154355447976592,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0,93,38
145,False,"{'a': 0.5, 'e': 0.7663888888888889}",20,11,-61.031821562942156,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1,93,38
146,False,"{'a': 0.5, 'e': 0.7631555555555556}",20,0,-37.797291653308726,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0,93,38
147,False,"{'a': 0.5, 'e': 0.7599}",25,0,-168.65436911609135,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0,94,41
148,False,"{'a': 0.5, 'e': 0.7566222222222222}",25,0,-133.53079110103002,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0,94,40
149,False,"{'a': 0.5, 'e': 0.7533222222222222}",20,0,-16.5264288078026,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0,94,39
150,False,"{'a': 0.5, 'e': 0.75}",20,0,-43.63886330584298,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0,94,39
